id,action_time,object_id,object_repr,change_message,content_type_id,user_id,action_flag
65,2021-10-04 20:06:56.828877,48,Fried Potato Wedge,"[{""changed"": {""fields"": [""Dietary""]}}]",10,1,2
66,2021-10-05 01:00:21.927814,48,Fried Potato Wedge,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
67,2021-10-05 01:00:30.738360,47,Vietnamese Bahn Mi Sandwich,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
68,2021-10-05 01:00:37.480275,46,Vegan Egg Sandwich,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
69,2021-10-05 01:00:42.961389,45,Farm Egg Sandwich,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
70,2021-10-05 01:00:48.689386,44,Yam Hot Bowl,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
71,2021-10-05 01:00:53.304205,43,Cuban Roasted Plantain Bowl,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
72,2021-10-05 01:01:28.897030,42,Large Garden,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
73,2021-10-05 01:01:35.999623,41,Supreme Large,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
74,2021-10-05 01:01:42.651086,42,Large Garden,[],10,1,2
75,2021-10-05 01:01:50.870789,40,Calzone,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
76,2021-10-05 01:02:08.883436,39,Thirteen Slice,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
77,2021-10-05 01:02:17.509375,38,Garden Slice,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
78,2021-10-05 01:02:23.960364,37,Supreme Pizza Slice,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
79,2021-10-05 01:02:31.829674,36,Single Pizza Slice,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
80,2021-10-05 01:03:16.519098,35,Vegan Lunch Lady,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
81,2021-10-05 01:03:24.773557,34,Good Lovin',"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
82,2021-10-05 01:03:35.239481,33,San Cris,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
83,2021-10-05 01:03:44.213103,32,Yard Bird Taco,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
84,2021-10-05 01:03:54.901065,31,Kirb Service Taco,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
85,2021-10-05 01:05:40.463830,31,Kirb Service Taco,"[{""changed"": {""fields"": [""Open time""]}}]",10,1,2
86,2021-10-05 01:05:47.864297,30,Build your own Taco,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
87,2021-10-05 01:06:04.790418,29,Migas Taco,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
88,2021-10-05 01:06:29.032672,28,Al Pastor Torta,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
89,2021-10-05 01:06:36.390689,27,Avocado Torta,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
90,2021-10-05 01:06:48.694181,26,Chips & Salsa,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
91,2021-10-05 01:06:56.180925,25,La Guapa,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
92,2021-10-05 01:07:03.414980,24,El Chulo,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
93,2021-10-05 01:07:10.437181,23,La Gringa,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
94,2021-10-05 01:07:18.309149,22,El Guero,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
95,2021-10-05 01:08:14.889259,21,Shrimp and Grits,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
96,2021-10-05 01:08:24.718724,20,Fried Chicken and Waffle,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
97,2021-10-05 01:08:33.383782,19,Biscuit and Gravy,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
98,2021-10-05 01:08:41.158462,18,Egg and Cheese Sandwich,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
99,2021-10-05 01:09:26.370532,16,Cobia & Akara,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
100,2021-10-05 01:09:33.305927,15,Pepperpot Stew,"[{""changed"": {""fields"": [""Open time""]}}]",10,1,2
101,2021-10-05 01:09:39.322855,15,Pepperpot Stew,"[{""changed"": {""fields"": [""Close time""]}}]",10,1,2
102,2021-10-05 01:09:48.448844,14,Berberie Spiced Joyce Farms Chicken,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
103,2021-10-05 01:10:21.467899,13,buxton summer salad,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
104,2021-10-05 01:10:30.794386,13,buxton summer salad,"[{""changed"": {""fields"": [""Close time""]}}]",10,1,2
105,2021-10-05 01:10:39.642022,12,Skillet Cornbread,"[{""changed"": {""fields"": [""Open time"", ""Close time""]}}]",10,1,2
